XZXIIXZXII	(0.005823509923253105+0j)
IIIIIIZZII	(0.09017371574403271+0j)
IZIIIIIZII	(0.09599722566728583+0j)
IIZIIIZIII	(0.09599722566728583+0j)
IZZIIIIIII	(0.09017371574403271+0j)
IIIIIZIZII	(0.09017371574403271+0j)
ZIIIIIIZII	(0.09599722566728583+0j)
IIZIIZIIII	(0.09599722566728583+0j)
ZIZIIIIIII	(0.09017371574403271+0j)
IZIIIIZIII	(0.1076435203562805+0j)
YYIIIYYIII	(0.005823509923253112+0j)
XXIIIYYIII	(0.005823509923253112+0j)
YYIIIXXIII	(0.005823509923253112+0j)
XXIIIXXIII	(0.005823509923253112+0j)
IIIIIZZIII	(0.09017371574403271+0j)
ZIIIIIZIII	(0.09599722566728583+0j)
IZIIIZIIII	(0.09599722566728583+0j)
ZZIIIIIIII	(0.09017371574403271+0j)
ZIIIIZIIII	(0.1076435203562805+0j)
IIIIZIIIZZ	(-0.0021049305631009717+0j)
IIIZZIIIIZ	(-0.0021049305631009717+0j)
IIIYYIIIZZ	(-0.0005826920863502189+0j)
IIIXXIIIZZ	(-0.0005826920863502189+0j)
IIIZZIIIYY	(-0.0005826920863502189+0j)
IIIZZIIIXX	(-0.0005826920863502189+0j)
IIYZYIIYYZ	(-4.759153628868752e-05+0j)
IIXZXIIYYZ	(-4.759153628868752e-05+0j)
IIYZYIIXXZ	(-4.759153628868752e-05+0j)
IIXZXIIXXZ	(-4.759153628868752e-05+0j)
IIYYZIIYZY	(-4.759153628868752e-05+0j)
IIXXZIIYZY	(-4.759153628868752e-05+0j)
IIYYZIIXZX	(-4.759153628868752e-05+0j)
IIXXZIIXZX	(-4.759153628868752e-05+0j)
IYZZYIYZYZ	(-4.759153628868745e-05+0j)
IXZZXIYZYZ	(-4.759153628868745e-05+0j)
IYZZYIXZXZ	(-4.759153628868745e-05+0j)
IXZZXIXZXZ	(-4.759153628868745e-05+0j)
IYZYZIYZZY	(-4.759153628868745e-05+0j)
IXZXZIYZZY	(-4.759153628868745e-05+0j)
IYZYZIXZZX	(-4.759153628868745e-05+0j)
IXZXZIXZZX	(-4.759153628868745e-05+0j)
YZZZYYZZYZ	(-4.759153628868724e-05+0j)
XZZZXYZZYZ	(-4.759153628868724e-05+0j)
YZZZYXZZXZ	(-4.759153628868724e-05+0j)
XZZZXXZZXZ	(-4.759153628868724e-05+0j)
YZZYZYZZZY	(-4.759153628868724e-05+0j)
XZZXZYZZZY	(-4.759153628868724e-05+0j)
YZZYZXZZZX	(-4.759153628868724e-05+0j)
XZZXZXZZZX	(-4.759153628868724e-05+0j)
IIYZYIIYIY	(5.01179167758688e-06+0j)
IIXZXIIYIY	(5.01179167758688e-06+0j)
IIYZYIIXIX	(5.01179167758688e-06+0j)
IIXZXIIXIX	(5.01179167758688e-06+0j)
IIYIYIIYZY	(5.01179167758688e-06+0j)
IIXIXIIYZY	(5.01179167758688e-06+0j)
IIYIYIIXZX	(5.01179167758688e-06+0j)
IIXIXIIXZX	(5.01179167758688e-06+0j)
IYZZYIYZIY	(5.011791677586875e-06+0j)
IXZZXIYZIY	(5.011791677586875e-06+0j)
IYZZYIXZIX	(5.011791677586875e-06+0j)
IXZZXIXZIX	(5.011791677586875e-06+0j)
IYZIYIYZZY	(5.011791677586875e-06+0j)
IXZIXIYZZY	(5.011791677586875e-06+0j)
IYZIYIXZZX	(5.011791677586875e-06+0j)
IXZIXIXZZX	(5.011791677586875e-06+0j)
YZZZYYZZIY	(5.011791677586861e-06+0j)
XZZZXYZZIY	(5.011791677586861e-06+0j)
YZZZYXZZIX	(5.011791677586861e-06+0j)
XZZZXXZZIX	(5.011791677586861e-06+0j)
YZZIYYZZZY	(5.011791677586861e-06+0j)
XZZIXYZZZY	(5.011791677586861e-06+0j)
YZZIYXZZZX	(5.011791677586861e-06+0j)
XZZIXXZZZX	(5.011791677586861e-06+0j)
IIIIZIIZIZ	(-0.0017047347388874016+0j)
IIZIZIIIIZ	(-0.0017047347388874016+0j)
IIIYYIIZIZ	(-0.0005083067343536477+0j)
IIIXXIIZIZ	(-0.0005083067343536477+0j)
IIZYYIIIIZ	(-0.0005558982706423351+0j)
IIZXXIIIIZ	(-0.0005558982706423351+0j)
IIIIZIIZYY	(-0.0005558982706423351+0j)
IIIIZIIZXX	(-0.0005558982706423351+0j)
IIZIZIIIYY	(-0.0005083067343536477+0j)
IIZIZIIIXX	(-0.0005083067343536477+0j)
IIIYYIIZYY	(-0.00013964569051373022+0j)
IIIXXIIZYY	(-0.00013964569051373022+0j)
IIIYYIIZXX	(-0.00013964569051373022+0j)
IIIXXIIZXX	(-0.00013964569051373022+0j)
IIZYYIIIYY	(-0.00013964569051373022+0j)
IIZXXIIIYY	(-0.00013964569051373022+0j)
IIZYYIIIXX	(-0.00013964569051373022+0j)
IIZXXIIIXX	(-0.00013964569051373022+0j)
IYZZYIYIZY	(1.569186396031128e-05+0j)
IXZZXIYIZY	(1.569186396031128e-05+0j)
IYZZYIXIZX	(1.569186396031128e-05+0j)
IXZZXIXIZX	(1.569186396031128e-05+0j)
IYIZYIYZZY	(1.569186396031128e-05+0j)
IXIZXIYZZY	(1.569186396031128e-05+0j)
IYIZYIXZZX	(1.569186396031128e-05+0j)
IXIZXIXZZX	(1.569186396031128e-05+0j)
YZZZYYZIZY	(1.5691863960311258e-05+0j)
XZZZXYZIZY	(1.5691863960311258e-05+0j)
YZZZYXZIZX	(1.5691863960311258e-05+0j)
XZZZXXZIZX	(1.5691863960311258e-05+0j)
YZIZYYZZZY	(1.5691863960311258e-05+0j)
XZIZXYZZZY	(1.5691863960311258e-05+0j)
YZIZYXZZZX	(1.5691863960311258e-05+0j)
XZIZXXZZZX	(1.5691863960311258e-05+0j)
IIIIZIZIIZ	(-0.0017047347388873995+0j)
IZIIZIIIIZ	(-0.0017047347388873995+0j)
IIIYYIZIIZ	(-0.0005083067343536485+0j)
IIIXXIZIIZ	(-0.0005083067343536485+0j)
IZIYYIIIIZ	(-0.0005558982706423359+0j)
IZIXXIIIIZ	(-0.0005558982706423359+0j)
IIIIZIZIYY	(-0.0005558982706423359+0j)
IIIIZIZIXX	(-0.0005558982706423359+0j)
IZIIZIIIYY	(-0.0005083067343536485+0j)
IZIIZIIIXX	(-0.0005083067343536485+0j)
IIIYYIZIYY	(-0.0001396456905137303+0j)
IIIXXIZIYY	(-0.0001396456905137303+0j)
IIIYYIZIXX	(-0.0001396456905137303+0j)
IIIXXIZIXX	(-0.0001396456905137303+0j)
IZIYYIIIYY	(-0.0001396456905137303+0j)
IZIXXIIIYY	(-0.0001396456905137303+0j)
IZIYYIIIXX	(-0.0001396456905137303+0j)
IZIXXIIIXX	(-0.0001396456905137303+0j)
IIYZYIZYZY	(1.5691863960311264e-05+0j)
IIXZXIZYZY	(1.5691863960311264e-05+0j)
IIYZYIZXZX	(1.5691863960311264e-05+0j)
IIXZXIZXZX	(1.5691863960311264e-05+0j)
IZYZYIIYZY	(1.5691863960311264e-05+0j)
IZXZXIIYZY	(1.5691863960311264e-05+0j)
IZYZYIIXZX	(1.5691863960311264e-05+0j)
IZXZXIIXZX	(1.5691863960311264e-05+0j)
YZZZYYIZZY	(1.5691863960311258e-05+0j)
XZZZXYIZZY	(1.5691863960311258e-05+0j)
YZZZYXIZZX	(1.5691863960311258e-05+0j)
XZZZXXIZZX	(1.5691863960311258e-05+0j)
YIZZYYZZZY	(1.5691863960311258e-05+0j)
XIZZXYZZZY	(1.5691863960311258e-05+0j)
YIZZYXZZZX	(1.5691863960311258e-05+0j)
XIZZXXZZZX	(1.5691863960311258e-05+0j)
IIIIZZIIIZ	(-0.0017047347388873992+0j)
ZIIIZIIIIZ	(-0.0017047347388873992+0j)
IIIYYZIIIZ	(-0.0005083067343536486+0j)
IIIXXZIIIZ	(-0.0005083067343536486+0j)
ZIIYYIIIIZ	(-0.0005558982706423357+0j)
ZIIXXIIIIZ	(-0.0005558982706423357+0j)
IIIIZZIIYY	(-0.0005558982706423357+0j)
IIIIZZIIXX	(-0.0005558982706423357+0j)
ZIIIZIIIYY	(-0.0005083067343536486+0j)
ZIIIZIIIXX	(-0.0005083067343536486+0j)
IIIYYZIIYY	(-0.00013964569051373022+0j)
IIIXXZIIYY	(-0.00013964569051373022+0j)
IIIYYZIIXX	(-0.00013964569051373022+0j)
IIIXXZIIXX	(-0.00013964569051373022+0j)
ZIIYYIIIYY	(-0.00013964569051373022+0j)
ZIIXXIIIYY	(-0.00013964569051373022+0j)
ZIIYYIIIXX	(-0.00013964569051373022+0j)
ZIIXXIIIXX	(-0.00013964569051373022+0j)
IIYZYZIYZY	(1.569186396031124e-05+0j)
IIXZXZIYZY	(1.569186396031124e-05+0j)
IIYZYZIXZX	(1.569186396031124e-05+0j)
IIXZXZIXZX	(1.569186396031124e-05+0j)
ZIYZYIIYZY	(1.569186396031124e-05+0j)
ZIXZXIIYZY	(1.569186396031124e-05+0j)
ZIYZYIIXZX	(1.569186396031124e-05+0j)
ZIXZXIIXZX	(1.569186396031124e-05+0j)
IYZZYZYZZY	(1.5691863960311244e-05+0j)
IXZZXZYZZY	(1.5691863960311244e-05+0j)
IYZZYZXZZX	(1.5691863960311244e-05+0j)
IXZZXZXZZX	(1.5691863960311244e-05+0j)
ZYZZYIYZZY	(1.5691863960311244e-05+0j)
ZXZZXIYZZY	(1.5691863960311244e-05+0j)
ZYZZYIXZZX	(1.5691863960311244e-05+0j)
ZXZZXIXZZX	(1.5691863960311244e-05+0j)
IIIZIIIIZZ	(0.0011652226276993498+0j)
IIIZZIIIZI	(0.0011652226276993498+0j)
IIYYIIIYYZ	(1.2923997921333573e-05+0j)
IIXXIIIYYZ	(1.2923997921333573e-05+0j)
IIYYIIIXXZ	(1.2923997921333573e-05+0j)
IIXXIIIXXZ	(1.2923997921333573e-05+0j)
IIYYZIIYYI	(1.2923997921333573e-05+0j)
IIXXZIIYYI	(1.2923997921333573e-05+0j)
IIYYZIIXXI	(1.2923997921333573e-05+0j)
IIXXZIIXXI	(1.2923997921333573e-05+0j)
IYZYIIYZYZ	(1.292399792133365e-05+0j)
IXZXIIYZYZ	(1.292399792133365e-05+0j)
IYZYIIXZXZ	(1.292399792133365e-05+0j)
IXZXIIXZXZ	(1.292399792133365e-05+0j)
IYZYZIYZYI	(1.292399792133365e-05+0j)
IXZXZIYZYI	(1.292399792133365e-05+0j)
IYZYZIXZXI	(1.292399792133365e-05+0j)
IXZXZIXZXI	(1.292399792133365e-05+0j)
YZZYIYZZYZ	(1.2923997921333284e-05+0j)
XZZXIYZZYZ	(1.2923997921333284e-05+0j)
YZZYIXZZXZ	(1.2923997921333284e-05+0j)
XZZXIXZZXZ	(1.2923997921333284e-05+0j)
YZZYZYZZYI	(1.2923997921333284e-05+0j)
XZZXZYZZYI	(1.2923997921333284e-05+0j)
YZZYZXZZXI	(1.2923997921333284e-05+0j)
XZZXZXZZXI	(1.2923997921333284e-05+0j)
IIYYIIIYIY	(1.0619806838471768e-05+0j)
IIXXIIIYIY	(1.0619806838471768e-05+0j)
IIYYIIIXIX	(1.0619806838471768e-05+0j)
IIXXIIIXIX	(1.0619806838471768e-05+0j)
IIYIYIIYYI	(1.0619806838471768e-05+0j)
IIXIXIIYYI	(1.0619806838471768e-05+0j)
IIYIYIIXXI	(1.0619806838471768e-05+0j)
IIXIXIIXXI	(1.0619806838471768e-05+0j)
IYZYIIYZIY	(1.0619806838471791e-05+0j)
IXZXIIYZIY	(1.0619806838471791e-05+0j)
IYZYIIXZIX	(1.0619806838471791e-05+0j)
IXZXIIXZIX	(1.0619806838471791e-05+0j)
IYZIYIYZYI	(1.0619806838471791e-05+0j)
IXZIXIYZYI	(1.0619806838471791e-05+0j)
IYZIYIXZXI	(1.0619806838471791e-05+0j)
IXZIXIXZXI	(1.0619806838471791e-05+0j)
YZZYIYZZIY	(1.0619806838471822e-05+0j)
XZZXIYZZIY	(1.0619806838471822e-05+0j)
YZZYIXZZIX	(1.0619806838471822e-05+0j)
XZZXIXZZIX	(1.0619806838471822e-05+0j)
YZZIYYZZYI	(1.0619806838471822e-05+0j)
XZZIXYZZYI	(1.0619806838471822e-05+0j)
YZZIYXZZXI	(1.0619806838471822e-05+0j)
XZZIXXZZXI	(1.0619806838471822e-05+0j)
IIIIIIIZZZ	(0.0012111431922537546+0j)
IIZIIIIIZZ	(0.001229078981852675+0j)
IIIZIIIZIZ	(0.001084421499661358+0j)
IIZZIIIIIZ	(0.0010765092934176112+0j)
IIIIZIIZZI	(0.0010765092934176112+0j)
IIZIZIIIZI	(0.001084421499661358+0j)
IIIZZIIZII	(0.001229078981852675+0j)
IIZZZIIIII	(0.0012111431922537546+0j)
IIIZIIIZYY	(0.00020985989598890396+0j)
IIIZIIIZXX	(0.00020985989598890396+0j)
IIZZIIIIYY	(0.0001992400891504322+0j)
IIZZIIIIXX	(0.0001992400891504322+0j)
IIIYYIIZZI	(0.0001992400891504322+0j)
IIIXXIIZZI	(0.0001992400891504322+0j)
IIZYYIIIZI	(0.00020985989598890396+0j)
IIZXXIIIZI	(0.00020985989598890396+0j)
IYZYIIYIZY	(1.9190263426529116e-05+0j)
IXZXIIYIZY	(1.9190263426529116e-05+0j)
IYZYIIXIZX	(1.9190263426529116e-05+0j)
IXZXIIXIZX	(1.9190263426529116e-05+0j)
IYIZYIYZYI	(1.9190263426529116e-05+0j)
IXIZXIYZYI	(1.9190263426529116e-05+0j)
IYIZYIXZXI	(1.9190263426529116e-05+0j)
IXIZXIXZXI	(1.9190263426529116e-05+0j)
YZZYIYZIZY	(1.9190263426529157e-05+0j)
XZZXIYZIZY	(1.9190263426529157e-05+0j)
YZZYIXZIZX	(1.9190263426529157e-05+0j)
XZZXIXZIZX	(1.9190263426529157e-05+0j)
YZIZYYZZYI	(1.9190263426529157e-05+0j)
XZIZXYZZYI	(1.9190263426529157e-05+0j)
YZIZYXZZXI	(1.9190263426529157e-05+0j)
XZIZXXZZXI	(1.9190263426529157e-05+0j)
IYIYIIYZZY	(1.919026342652913e-05+0j)
IXIXIIYZZY	(1.919026342652913e-05+0j)
IYIYIIXZZX	(1.919026342652913e-05+0j)
IXIXIIXZZX	(1.919026342652913e-05+0j)
IYZZYIYIYI	(1.919026342652913e-05+0j)
IXZZXIYIYI	(1.919026342652913e-05+0j)
IYZZYIXIXI	(1.919026342652913e-05+0j)
IXZZXIXIXI	(1.919026342652913e-05+0j)
YZIYIYZZZY	(1.919026342652916e-05+0j)
XZIXIYZZZY	(1.919026342652916e-05+0j)
YZIYIXZZZX	(1.919026342652916e-05+0j)
XZIXIXZZZX	(1.919026342652916e-05+0j)
YZZZYYZIYI	(1.919026342652916e-05+0j)
XZZZXYZIYI	(1.919026342652916e-05+0j)
YZZZYXZIXI	(1.919026342652916e-05+0j)
XZZZXXZIXI	(1.919026342652916e-05+0j)
