XZXZYZYI	(4.317243961844901e-05+0j)
YZYZXZXI	(4.317243961844901e-05+0j)
XZXZXZXI	(4.317243961844901e-05+0j)
IYYIIYIY	(2.5304723025558336e-05+0j)
IXXIIYIY	(2.5304723025558336e-05+0j)
IYYIIXIX	(2.5304723025558336e-05+0j)
IXXIIXIX	(2.5304723025558336e-05+0j)
IYIYIYYI	(2.5304723025558336e-05+0j)
IXIXIYYI	(2.5304723025558336e-05+0j)
IYIYIXXI	(2.5304723025558336e-05+0j)
IXIXIXXI	(2.5304723025558336e-05+0j)
YZYIYZIY	(2.530472302555816e-05+0j)
XZXIYZIY	(2.530472302555816e-05+0j)
YZYIXZIX	(2.530472302555816e-05+0j)
XZXIXZIX	(2.530472302555816e-05+0j)
YZIYYZYI	(2.530472302555816e-05+0j)
XZIXYZYI	(2.530472302555816e-05+0j)
YZIYXZXI	(2.530472302555816e-05+0j)
XZIXXZXI	(2.530472302555816e-05+0j)
IIIIIZZZ	(0.0008058738308551938+0j)
IZIIIIZZ	(0.0011149356128997321+0j)
IIZIIZIZ	(0.0019460014842636434+0j)
IZZIIIIZ	(0.0021687183870712835+0j)
IIIZIZZI	(0.0021687183870712835+0j)
IZIZIIZI	(0.0019460014842636434+0j)
IIZZIZII	(0.0011149356128997321+0j)
IZZZIIII	(0.0008058738308551938+0j)
IIZIIZYY	(-0.000937136807443943+0j)
IIZIIZXX	(-0.000937136807443943+0j)
IZZIIIYY	(-0.0009624415304695014+0j)
IZZIIIXX	(-0.0009624415304695014+0j)
IIYYIZZI	(-0.0009624415304695014+0j)
IIXXIZZI	(-0.0009624415304695014+0j)
IZYYIIZI	(-0.000937136807443943+0j)
IZXXIIZI	(-0.000937136807443943+0j)
YZYIYIZY	(2.6004961911364665e-06+0j)
XZXIYIZY	(2.6004961911364665e-06+0j)
YZYIXIZX	(2.6004961911364665e-06+0j)
XZXIXIZX	(2.6004961911364665e-06+0j)
YIZYYZYI	(2.6004961911364665e-06+0j)
XIZXYZYI	(2.6004961911364665e-06+0j)
YIZYXZXI	(2.6004961911364665e-06+0j)
XIZXXZXI	(2.6004961911364665e-06+0j)
YIYIYZZY	(2.600496191136484e-06+0j)
XIXIYZZY	(2.600496191136484e-06+0j)
YIYIXZZX	(2.600496191136484e-06+0j)
XIXIXZZX	(2.600496191136484e-06+0j)
YZZYYIYI	(2.600496191136484e-06+0j)
XZZXYIYI	(2.600496191136484e-06+0j)
YZZYXIXI	(2.600496191136484e-06+0j)
XZZXXIXI	(2.600496191136484e-06+0j)
IIIIZIZZ	(0.000805873830855194+0j)
ZIIIIIZZ	(0.0011149356128997323+0j)
IIZIZIIZ	(0.0019460014842636428+0j)
ZIZIIIIZ	(0.0021687183870712826+0j)
IIIZZIZI	(0.0021687183870712826+0j)
ZIIZIIZI	(0.0019460014842636428+0j)
IIZZZIII	(0.0011149356128997323+0j)
ZIZZIIII	(0.000805873830855194+0j)
IIZIZIYY	(-0.000937136807443942+0j)
IIZIZIXX	(-0.000937136807443942+0j)
ZIZIIIYY	(-0.0009624415304695004+0j)
ZIZIIIXX	(-0.0009624415304695004+0j)
IIYYZIZI	(-0.0009624415304695004+0j)
IIXXZIZI	(-0.0009624415304695004+0j)
ZIYYIIZI	(-0.000937136807443942+0j)
ZIXXIIZI	(-0.000937136807443942+0j)
IYYIZYZY	(2.6004961911365427e-06+0j)
IXXIZYZY	(2.6004961911365427e-06+0j)
IYYIZXZX	(2.6004961911365427e-06+0j)
IXXIZXZX	(2.6004961911365427e-06+0j)
ZYYIIYZY	(2.600496191136525e-06+0j)
ZXXIIYZY	(2.600496191136525e-06+0j)
ZYYIIXZX	(2.600496191136525e-06+0j)
ZXXIIXZX	(2.600496191136525e-06+0j)
IYZYZYYI	(2.600496191136525e-06+0j)
IXZXZYYI	(2.600496191136525e-06+0j)
IYZYZXXI	(2.600496191136525e-06+0j)
IXZXZXXI	(2.600496191136525e-06+0j)
ZYZYIYYI	(2.6004961911365427e-06+0j)
ZXZXIYYI	(2.6004961911365427e-06+0j)
ZYZYIXXI	(2.6004961911365427e-06+0j)
